Pays;CODE;categorie;Continent;rang;Score;population;IDH;taux_de_croissance_demographique;degre_de_liberte_de_propriete;degre_de_liberte_face.a_la_corruption;degre_de_liberte_financiere;degre_de_liberte_fiscale;degre_de_liberte_monetaire;degre_de_liberte_de_travail;culture_democratique;efficacite_et_responsabilite_gouvernementale;degre_de_liberte_civile;niveau_de_participation_politique;pluralite_et_qualite_du_processus_electoral;degre_de_liberte_de_presse;indice_de_droit_politique;degre_de_liberte_economique;niveau_de_liberte_des_invistissements;Niveau_du_taux_marginal_d.imposition;Taille_de_l.etat;Taux_marginal_d.imposition;degre_de_liberte_de_commerce;Depenses_militaires_.._du_PIB.;Exportations_d.armes_..US_constant_1990.;Importations_d.armes_..US_constant_1990.;Personnel_militaire_.._de_la_main_d.œuvre_totale.;Personnel_militaire_.total.;Niveau_d.instabilite_politique;Depenses_publiques_totales_dans_le_secteur_de_l.education_.._du_PIB.;Taux_d.inscription_aux_etudes_primaires_.taux_brut.._de_la_population.;Taux_d.inscription_aux_etudes_secondaires_.taux_brut.._de_la_population.;Taux_d.inscription_aux_etudes_tertiaires.taux_brut.._de_la_population.;Degre_d.alphabetisation_chez_les_femmes_ayant_entre_15_et_24_ans.;Degre_d.alphabetisation_chez_les_hommes_ayant_entre_15_et_24_ans_...;Utilisateurs_d.Internet_.par_100_habitants.;Nombre_de_serveurs_securises_.par_million_d.habitants.
Cuba;CUB;regime autoritaire;CONTINENT AMERICAIN;124;3.52;11270957;0.5;0.41;10;37;10;61.5;71.3;20;4.38;4.64;6;3.89;1.75;90;7;NA;6;7;6.32;30;62.7;3.94;769694444;244870690;1.42;75500;2.75;4.42;99;90;62.45;99.98;99.99;25.64;0.09
Danemark;DNK;democratie;CONTINENT EUROPEEN;4;9.52;5591572;0.78;NA;90;93;90;39.8;80.7;92.1;9.38;9.64;1;8.89;10;3;1;76.2;8;3;3.78;52;87.1;1.37;23000000;105000000;0.59;17200;1;4.42;101;125;79.6;90.61;92.52;92.26;2213.87
Djibouti;DJI;regime autoritaire;CONTINENT AFRICAIN;142;2.74;859652;0.5;NA;30;32;60;80.3;77.2;61.6;5.63;1.79;5;2.22;0.83;31.25;6;53.9;6;7;6.32;30;59.6;1.95;769694444;6000000;NA;12950;3;4.42;70;44;42.31;90.61;92.52;8.27;4.65
Dominicaine (Rep);DMA;democratie imparfaite;CONTINENT AMERICAIN;58;6.49;10276621;0.53;1.67;30;30;40;85.8;75.1;58.7;6.25;5.36;2;4.44;8.75;27.56;2;60.2;6;9;8.18;25;80.1;0.6;769694444;244870690;1.32;61000;NA;4.42;103;76;46.38;97.77;96.32;41.2;22.96
egypte;EGY;regime hybride;CONTINENT AFRICAIN;105;4.56;80721874;0.41;5.57;35;31;40;89.7;62.3;53.7;5.63;4.64;5;5;3.42;34.5;6;57.9;4;10;7.27;20;74;1.75;769694444;281000000;NA;835500;3.38;4.42;113;86;NA;86.05;92.36;44;NA
emirats Arabes Unis;ARE;regime autoritaire;CONTINENT ASIATIQUE;144;2.58;9205651;0.63;1.62;55;63;50;99.9;80.9;78.8;5;3.57;5;NA;0;27.56;6;69.3;4;10;7.94;0;82.6;NA;769694444;1088000000;0.82;51000;2.38;4.42;108;81;42.31;90.61;92.52;85;183.69
equateur;ECU;regime hybride;CONTINENT AMERICAIN;84;5.78;15492264;0.59;3.28;20;25;40;78.3;66.8;41;4.38;4.64;3;5;7.83;NA;3;48.3;0;7;5.63;35;68.1;2.72;769694444;88000000;0.79;58500;NA;4.18;114;87;40.51;98.89;98.77;35.14;22.14
erythree;ERI;regime autoritaire;CONTINENT AFRICAIN;148;NA;6130922;0.5;0.36;10;26;20;57;52.9;63.2;6.88;2.86;7;NA;0;83.67;7;36.2;6;7;6.32;30;69.1;1.95;769694444;244870690;6.83;201750;3.25;4.42;105;81;42.31;88.68;93.19;0.8;77.76
Espagne;ESP;democratie;CONTINENT EUROPEEN;24;NA;46773055;0.69;-0.3;70;61;80;61.3;81.5;51.8;NA;NA;1;NA;9.58;7.75;1;69.1;10;6;6.15;43;87.1;NA;546000000;240000000;0.92;215600;1.38;4.37;103;131;84.57;99.71;99.64;69.81;290.92
Estonie;EST;democratie imparfaite;CONTINENT EUROPEEN;33;7.61;1322696;0.5;0.76;80;65;80;79.1;79.3;56.9;NA;7.14;1;5;9.58;27.56;1;73.2;8;9;NA;21;87.1;1.93;769694444;2000000;0.83;5750;NA;4.42;98;107;76.68;90.61;92.52;78.39;668.33
etats-Unis;USA;democratie;CONTINENT AMERICAIN;20;NA;314112078;0.84;NA;85;71;70;69.8;77.2;95.8;8.13;NA;1;7.22;9.17;4.75;1;76.3;7;7;6.43;41;86.4;4.24;9018000000;1217000000;0.94;1492200;1;4.42;98;94;94.28;90.61;92.52;79.3;1473.15
